scaffold_id	locus	v_calls	j_calls	n_pad
TRA_61	TRA	TRAV11*01,TRAV11D*01	TRAJ13*01	0
TRA_62	TRA	TRAV11*01,TRAV11D*01	TRAJ22*01	0
TRA_63	TRA	TRAV11*01,TRAV11D*01	TRAJ15*01	0
TRA_64	TRA	TRAV11*01,TRAV11D*01	TRAJ52*01	0
TRA_65	TRA	TRAV11*01,TRAV11D*01	TRAJ26*01	0
TRA_66	TRA	TRAV11*01,TRAV11D*01	TRAJ25*02	0
TRA_67	TRA	TRAV11*01,TRAV11D*01	TRAJ25*01	0
TRA_68	TRA	TRAV11*01,TRAV11D*01	TRAJ43*01	0
TRA_69	TRA	TRAV11*01,TRAV11D*01	TRAJ35*02	0
TRA_70	TRA	TRAV11*01,TRAV11D*01	TRAJ53*01	0
TRA_71	TRA	TRAV11*01,TRAV11D*01	TRAJ31*02	0
TRA_72	TRA	TRAV11*01,TRAV11D*01	TRAJ31*01	0
TRA_73	TRA	TRAV11*01,TRAV11D*01	TRAJ29*01	0
TRA_74	TRA	TRAV11*01,TRAV11D*01	TRAJ6*01	1
TRA_75	TRA	TRAV11*01,TRAV11D*01	TRAJ49*01	1
TRA_76	TRA	TRAV11*01,TRAV11D*01	TRAJ45*02	1
TRA_77	TRA	TRAV11*01,TRAV11D*01	TRAJ32*02	1
TRA_78	TRA	TRAV11*01,TRAV11D*01	TRAJ35*01	1
TRA_79	TRA	TRAV11*01,TRAV11D*01	TRAJ7*01	1
TRA_80	TRA	TRAV11*01,TRAV11D*01	TRAJ5*01	1
TRA_81	TRA	TRAV11*01,TRAV11D*01	TRAJ12*01	1
TRA_82	TRA	TRAV11*01,TRAV11D*01	TRAJ41*01	1
TRA_83	TRA	TRAV11*01,TRAV11D*01	TRAJ42*01	2
TRA_84	TRA	TRAV11*01,TRAV11D*01	TRAJ9*02	2
TRA_85	TRA	TRAV11*01,TRAV11D*01	TRAJ9*01	2
TRA_86	TRA	TRAV11*01,TRAV11D*01	TRAJ19*01	2
TRA_87	TRA	TRAV11*01,TRAV11D*01	TRAJ16*01	2
TRA_88	TRA	TRAV11*01,TRAV11D*01	TRAJ48*01	2
TRA_89	TRA	TRAV11*01,TRAV11D*01	TRAJ12*02	2
TRA_90	TRA	TRAV11*01,TRAV11D*01	TRAJ40*01	2
TRA_91	TRA	TRAV11*01,TRAV11D*01	TRAJ44*01	2
TRA_92	TRA	TRAV11*01,TRAV11D*01	TRAJ42*02	2
TRA_93	TRA	TRAV11*01,TRAV11D*01	TRAJ34*02	2
TRA_94	TRA	TRAV11*01,TRAV11D*01	TRAJ34*01	2
TRA_96	TRA	TRAV11*01,TRAV11D*01	TRAJ24*02	2
TRA_97	TRA	TRAV11*01,TRAV11D*01	TRAJ27*01	1
TRA_98	TRA	TRAV11*01,TRAV11D*01	TRAJ38*01	1
TRA_99	TRA	TRAV11*01,TRAV11D*01	TRAJ28*01	1
TRA_100	TRA	TRAV11*01,TRAV11D*01	TRAJ24*01	1
TRA_101	TRA	TRAV11*01,TRAV11D*01	TRAJ30*01	1
TRA_102	TRA	TRAV11*01,TRAV11D*01	TRAJ11*01	1
TRA_103	TRA	TRAV11*01,TRAV11D*01	TRAJ37*01	0
TRA_104	TRA	TRAV11*01,TRAV11D*01	TRAJ18*01	0
TRA_105	TRA	TRAV11*01,TRAV11D*01	TRAJ50*01	0
TRA_106	TRA	TRAV11*01,TRAV11D*01	TRAJ21*02	0
TRA_107	TRA	TRAV11*01,TRAV11D*01	TRAJ39*01	0
TRA_108	TRA	TRAV11*01,TRAV11D*01	TRAJ45*01	0
TRA_109	TRA	TRAV11*01,TRAV11D*01	TRAJ2*01	0
TRA_110	TRA	TRAV11*01,TRAV11D*01	TRAJ57*01	0
TRA_111	TRA	TRAV11*01,TRAV11D*01	TRAJ23*01	0
TRA_112	TRA	TRAV11*01,TRAV11D*01	TRAJ32*01	0
TRA_113	TRA	TRAV11*01,TRAV11D*01	TRAJ17*01	0
TRA_114	TRA	TRAV11*01,TRAV11D*01	TRAJ47*01	0
TRA_115	TRA	TRAV11*01,TRAV11D*01	TRAJ58*01	0
TRA_116	TRA	TRAV11*01,TRAV11D*01	TRAJ47*02	0
TRA_117	TRA	TRAV11*01,TRAV11D*01	TRAJ33*01	0
TRA_118	TRA	TRAV11*01,TRAV11D*01	TRAJ56*01	0
TRA_119	TRA	TRAV11*01,TRAV11D*01	TRAJ21*01	0
TRA_120	TRA	TRAV11*01,TRAV11D*01	TRAJ4*02	0
TRA_121	TRA	TRAV11*01,TRAV11D*01	TRAJ43*02	0
TRA_122	TRA	TRAV11*02,TRAV11D*02	TRAJ13*01	0
TRA_123	TRA	TRAV11*02,TRAV11D*02	TRAJ22*01	0
TRA_124	TRA	TRAV11*02,TRAV11D*02	TRAJ15*01	0
TRA_125	TRA	TRAV11*02,TRAV11D*02	TRAJ52*01	0
TRA_126	TRA	TRAV11*02,TRAV11D*02	TRAJ26*01	0
TRA_127	TRA	TRAV11*02,TRAV11D*02	TRAJ25*02	0
TRA_128	TRA	TRAV11*02,TRAV11D*02	TRAJ25*01	0
TRA_129	TRA	TRAV11*02,TRAV11D*02	TRAJ43*01	0
TRA_130	TRA	TRAV11*02,TRAV11D*02	TRAJ35*02	0
TRA_131	TRA	TRAV11*02,TRAV11D*02	TRAJ53*01	0
TRA_132	TRA	TRAV11*02,TRAV11D*02	TRAJ31*02	0
TRA_133	TRA	TRAV11*02,TRAV11D*02	TRAJ31*01	0
TRA_134	TRA	TRAV11*02,TRAV11D*02	TRAJ29*01	0
TRA_135	TRA	TRAV11*02,TRAV11D*02	TRAJ6*01	1
TRA_136	TRA	TRAV11*02,TRAV11D*02	TRAJ49*01	1
TRA_137	TRA	TRAV11*02,TRAV11D*02	TRAJ45*02	1
TRA_138	TRA	TRAV11*02,TRAV11D*02	TRAJ32*02	1
TRA_139	TRA	TRAV11*02,TRAV11D*02	TRAJ35*01	1
TRA_140	TRA	TRAV11*02,TRAV11D*02	TRAJ7*01	1
TRA_141	TRA	TRAV11*02,TRAV11D*02	TRAJ5*01	1
TRA_142	TRA	TRAV11*02,TRAV11D*02	TRAJ12*01	1
TRA_143	TRA	TRAV11*02,TRAV11D*02	TRAJ41*01	1
TRA_144	TRA	TRAV11*02,TRAV11D*02	TRAJ42*01	2
TRA_145	TRA	TRAV11*02,TRAV11D*02	TRAJ9*02	2
TRA_146	TRA	TRAV11*02,TRAV11D*02	TRAJ9*01	2
TRA_147	TRA	TRAV11*02,TRAV11D*02	TRAJ19*01	2
TRA_148	TRA	TRAV11*02,TRAV11D*02	TRAJ16*01	2
TRA_149	TRA	TRAV11*02,TRAV11D*02	TRAJ48*01	2
TRA_150	TRA	TRAV11*02,TRAV11D*02	TRAJ12*02	2
TRA_151	TRA	TRAV11*02,TRAV11D*02	TRAJ40*01	2
TRA_152	TRA	TRAV11*02,TRAV11D*02	TRAJ44*01	2
TRA_153	TRA	TRAV11*02,TRAV11D*02	TRAJ42*02	2
TRA_154	TRA	TRAV11*02,TRAV11D*02	TRAJ34*02	2
TRA_155	TRA	TRAV11*02,TRAV11D*02	TRAJ34*01	2
TRA_157	TRA	TRAV11*02,TRAV11D*02	TRAJ24*02	2
TRA_158	TRA	TRAV11*02,TRAV11D*02	TRAJ27*01	1
TRA_159	TRA	TRAV11*02,TRAV11D*02	TRAJ38*01	1
TRA_160	TRA	TRAV11*02,TRAV11D*02	TRAJ28*01	1
TRA_161	TRA	TRAV11*02,TRAV11D*02	TRAJ24*01	1
TRA_162	TRA	TRAV11*02,TRAV11D*02	TRAJ30*01	1
TRA_163	TRA	TRAV11*02,TRAV11D*02	TRAJ11*01	1
TRA_164	TRA	TRAV11*02,TRAV11D*02	TRAJ37*01	0
TRA_165	TRA	TRAV11*02,TRAV11D*02	TRAJ18*01	0
TRA_166	TRA	TRAV11*02,TRAV11D*02	TRAJ50*01	0
TRA_167	TRA	TRAV11*02,TRAV11D*02	TRAJ21*02	0
TRA_168	TRA	TRAV11*02,TRAV11D*02	TRAJ39*01	0
TRA_169	TRA	TRAV11*02,TRAV11D*02	TRAJ45*01	0
TRA_170	TRA	TRAV11*02,TRAV11D*02	TRAJ2*01	0
TRA_171	TRA	TRAV11*02,TRAV11D*02	TRAJ57*01	0
TRA_172	TRA	TRAV11*02,TRAV11D*02	TRAJ23*01	0
